embedding_dimension,number_of_attention_heads,max_sequence_length,number_of_blocks,dropout_rate,learning_rate,number_of_epochs,batch_size,average_ndcg,average_roi
64,1,50,1,0.2,0.001,200,128,0.3610738892002296,-0.04666293862299751
64,1,50,1,0.5,0.001,200,128,0.3802009305096012,-0.050255745470941394
64,2,50,1,0.2,0.001,200,128,0.35952343096060985,-0.04321281647639019
64,2,50,1,0.5,0.001,200,128,0.37644338901333985,-0.047393829970873526
64,1,50,2,0.2,0.001,200,128,0.3644536111106147,-0.04539663313652791
64,1,50,2,0.5,0.001,200,128,0.37273835422116824,-0.04957897209607998
64,2,50,2,0.2,0.001,200,128,0.3559250495622182,-0.04494599000847465
64,2,50,2,0.5,0.001,200,128,0.38131212732725656,-0.046536996599880885
