embedding_dimension,number_of_attention_heads,max_sequence_length,number_of_blocks,dropout_rate,learning_rate,number_of_epochs,batch_size,time_bucket_count,average_ndcg,average_roi
64,1,50,1,0.2,0.001,200,128,64,0.365266677379735,-0.04647816810980818
64,2,50,1,0.2,0.001,200,128,64,0.36303111531267224,-0.04507223866368589
64,1,50,2,0.2,0.001,200,128,64,0.3487985622793422,-0.04400688636912874
64,2,50,2,0.2,0.001,200,128,64,0.34187034562325885,-0.04520889347994123
64,1,50,1,0.2,0.001,200,128,256,0.36374363676228455,-0.046862159084939105
64,2,50,1,0.2,0.001,200,128,256,0.3461457719193102,-0.04482857398365404
64,1,50,2,0.2,0.001,200,128,256,0.35616892301739406,-0.04217687485451479
64,2,50,2,0.2,0.001,200,128,256,0.35383745343121764,-0.04452589118630518
