trial_id,embedding_dimension,number_of_layers,learning_rate,weight_decay,keep_probability,number_of_epochs,batch_size,coherence_loss_weight,split_index,time_point,ndcg_at_k,roi_at_k,recall_at_k,profile_coherence_at_k,profile_coherence_lift_at_k
stratified_lambda_1.0,64,3,0.001,1e-05,0.6,50,1024,1.0,29,2020-08-03,0.3580460513373149,0.05156938451532934,0.5334455237367148,0.9171918186843561,1.376303006696497
stratified_lambda_1.0,64,3,0.001,1e-05,0.6,50,1024,1.0,30,2020-08-14,0.3628898079210932,0.028552420859144802,0.5288424164478311,0.9213483146067416,1.3835609165423255
stratified_lambda_1.0,64,3,0.001,1e-05,0.6,50,1024,1.0,31,2020-08-27,0.3628106540710622,0.03017251912143958,0.5385607921479817,0.9190225959012087,1.3778554797553701
stratified_lambda_1.0,64,3,0.001,1e-05,0.6,50,1024,1.0,32,2020-09-09,0.362217146876344,0.03676375026245252,0.5372121063957832,0.9152525252525253,1.3586913734660202
stratified_lambda_1.0,64,3,0.001,1e-05,0.6,50,1024,1.0,33,2020-09-22,0.3665478421066319,0.05044610673729156,0.5377130253953936,0.9217955112219451,1.3840936620197481
stratified_lambda_1.0,64,3,0.001,1e-05,0.6,50,1024,1.0,34,2020-10-05,0.37057466672936157,0.055473127591798295,0.5466515411706718,0.9224772835963654,1.3843890843292475
stratified_lambda_1.0,64,3,0.001,1e-05,0.6,50,1024,1.0,35,2020-10-16,0.3695306297500962,0.05441462265488176,0.5351063882966037,0.9265250790781745,1.3977621976242756
stratified_lambda_1.0,64,3,0.001,1e-05,0.6,50,1024,1.0,36,2020-10-29,0.3594945084934351,0.08121976095724145,0.5344882610567252,0.9328515111695137,1.4144759619176819
stratified_lambda_1.0,64,3,0.001,1e-05,0.6,50,1024,1.0,37,2020-11-11,0.3555042145736036,0.04633812686046992,0.5270095159302342,0.9279367791542077,1.4051992999559328
stratified_lambda_1.0,64,3,0.001,1e-05,0.6,50,1024,1.0,38,2020-11-24,0.34924164695276433,0.021800324807883797,0.520122397079539,0.9302315789473685,1.4081299107747454
stratified_lambda_1.0,64,3,0.001,1e-05,0.6,50,1024,1.0,39,2020-12-07,0.34348532273521,-0.0052969571242081955,0.5136089007501883,0.9249059757626411,1.4018762918732903
stratified_lambda_1.0,64,3,0.001,1e-05,0.6,50,1024,1.0,40,2020-12-18,0.33992448435954203,-0.0033465209820934022,0.512145343932119,0.9244551002615518,1.3971342748061655
stratified_lambda_1.0,64,3,0.001,1e-05,0.6,50,1024,1.0,41,2021-01-01,0.3191971504942747,-0.001167898772822022,0.49301075655516474,0.9246902654867257,1.3978803910598707
stratified_lambda_1.0,64,3,0.001,1e-05,0.6,50,1024,1.0,42,2021-01-14,0.3154322200836485,-0.0006212954012025592,0.48701456237263524,0.9298325033952014,1.4121290369777726
stratified_lambda_1.0,64,3,0.001,1e-05,0.6,50,1024,1.0,43,2021-01-27,0.3088238582747639,0.009743901111540998,0.48100002585582324,0.9276993166287015,1.4084427320727015
stratified_lambda_1.0,64,3,0.001,1e-05,0.6,50,1024,1.0,44,2021-02-09,0.3026765885635878,-0.00011699204345595836,0.4708538786361401,0.9203181818181818,1.389489570192157
stratified_lambda_1.0,64,3,0.001,1e-05,0.6,50,1024,1.0,45,2021-02-22,0.29604924840177615,0.003921737393893641,0.45799101778853313,0.9262024736601008,1.410132345609628
stratified_lambda_1.0,64,3,0.001,1e-05,0.6,50,1024,1.0,46,2021-03-05,0.2908858870975111,-0.00216049978989352,0.4470669626954964,0.925568445475638,1.4061170920073909
stratified_lambda_1.0,64,3,0.001,1e-05,0.6,50,1024,1.0,47,2021-03-18,0.2139830043166816,0.002585307378085233,0.33105747141277003,0.9199782844733985,1.40168438208317
stratified_lambda_1.0,64,3,0.001,1e-05,0.6,50,1024,1.0,48,2021-03-31,0.23631770774891786,-0.0023706758760582013,0.381203641448708,0.9322488038277512,1.4239296329067423
stratified_lambda_1.0,64,3,0.001,1e-05,0.6,50,1024,1.0,49,2021-04-13,0.22476118720693294,-0.009796536949281958,0.3652904596008082,0.92992007992008,1.4181388638571903
stratified_lambda_1.0,64,3,0.001,1e-05,0.6,50,1024,1.0,50,2021-04-26,0.21192061502469342,-0.0090576115515488,0.35941100426251626,0.9338957055214724,1.4280929276391836
stratified_lambda_1.0,64,3,0.001,1e-05,0.6,50,1024,1.0,51,2021-05-07,0.2068153803179294,0.003913179026145892,0.342594527414607,0.9348500517063082,1.4296730278427896
stratified_lambda_1.0,64,3,0.001,1e-05,0.6,50,1024,1.0,52,2021-05-20,0.17613684545423883,0.006413727176796275,0.29456555332662704,0.9250124564025909,1.419443774898903
stratified_lambda_1.0,64,3,0.001,1e-05,0.6,50,1024,1.0,53,2021-06-02,0.17313907876471255,0.006676761094328598,0.3124992615550493,0.9360426008968611,1.4366583721564248
stratified_lambda_1.0,64,3,0.001,1e-05,0.6,50,1024,1.0,54,2021-06-15,0.17934188907345014,-0.006071573728474722,0.3278746515271985,0.9432279909706547,1.443978545705035
stratified_lambda_1.0,64,3,0.001,1e-05,0.6,50,1024,1.0,55,2021-06-28,0.18221364184988934,-0.004811606102575566,0.33003409455753724,0.9453281423804227,1.4496139712625125
stratified_lambda_1.0,64,3,0.001,1e-05,0.6,50,1024,1.0,56,2021-07-09,0.1790125325200689,-0.0011494492538568922,0.3288753065546202,0.9421141888072356,1.4426069539317186
stratified_lambda_1.0,64,3,0.001,1e-05,0.6,50,1024,1.0,57,2021-07-22,0.1742619418001749,0.004082119697309947,0.32935793745623976,0.9406352683461117,1.4390621564479247
stratified_lambda_1.0,64,3,0.001,1e-05,0.6,50,1024,1.0,58,2021-08-04,0.1809291710686118,0.006873710879101668,0.3333184457503854,0.9349256900212315,1.4316765494957495
stratified_lambda_1.0,64,3,0.001,1e-05,0.6,50,1024,1.0,59,2021-08-17,0.1912473920627436,0.001397086572246614,0.3386760950067605,0.9444388525415198,1.458259355673095
stratified_lambda_1.0,64,3,0.001,1e-05,0.6,50,1024,1.0,60,2021-08-30,0.20226227993708612,0.00012046338014315142,0.35917252150476686,0.9422022919780767,1.453770929703847
stratified_lambda_1.0,64,3,0.001,1e-05,0.6,50,1024,1.0,61,2021-09-10,0.20341895914210706,0.0007290333829063961,0.3613416614569089,0.9444162436548224,1.469524676643684
stratified_lambda_1.0,64,3,0.001,1e-05,0.6,50,1024,1.0,62,2021-09-23,0.2208758420093376,-0.009995659212261783,0.3714578654629384,0.9434216867469879,1.4712337699581945
stratified_lambda_1.0,64,3,0.001,1e-05,0.6,50,1024,1.0,63,2021-10-06,0.23534110140900827,-0.007576012065755627,0.38602485959564,0.9410531220876048,1.4694030121442503
stratified_lambda_1.0,64,3,0.001,1e-05,0.6,50,1024,1.0,64,2021-10-19,0.23326429152421568,-0.008144175944669542,0.3822713380936608,0.947105141269106,1.4762676420648473
stratified_lambda_1.0,64,3,0.001,1e-05,0.6,50,1024,1.0,65,2021-11-01,0.23459719120716135,-0.0018032542452191957,0.3806803230015011,0.9443665264142123,1.4669548035425468
stratified_lambda_1.0,64,3,0.001,1e-05,0.6,50,1024,1.0,66,2021-11-12,0.15587317763636116,-0.00020815240074527406,0.24747244747244745,0.9406692406692406,1.4509645540400935
stratified_lambda_1.0,64,3,0.001,1e-05,0.6,50,1024,1.0,67,2021-11-25,0.2422886695249363,-0.009612709244968789,0.37830802192228885,0.9323054331864905,1.4444608325776587
stratified_lambda_1.0,64,3,0.001,1e-05,0.6,50,1024,1.0,68,2021-12-08,0.24373505492384373,-0.014602928492979575,0.3774081134461251,0.9430430430430431,1.476845321374592
