embedding_dimension,number_of_layers,learning_rate,weight_decay,keep_probability,number_of_epochs,average_ndcg,average_roi
64,3,0.001,1e-05,0.6,50,0.38581179035484414,-0.043873127362421604
128,3,0.001,1e-05,0.6,50,0.3739307402427863,-0.04396757003269209
64,3,0.001,1e-05,1.0,50,0.37871079803577734,-0.04441248072812218
128,3,0.001,1e-05,1.0,50,0.38135676729849727,-0.043906073911145704
64,3,0.01,1e-05,0.6,50,0.337299100536616,-0.03996647075881019
128,3,0.01,1e-05,0.6,50,0.3494584161701612,-0.04119854233068788
64,3,0.01,1e-05,1.0,50,0.35683558450274006,-0.04214229557200938
128,3,0.01,1e-05,1.0,50,0.35450267465179214,-0.040317766371649875
64,4,0.001,1e-05,0.6,50,0.3923084074751258,-0.043781380430547606
128,4,0.001,1e-05,0.6,50,0.3802848852503386,-0.04213790375029843
64,4,0.001,1e-05,1.0,50,0.37205283485434903,-0.04175730942738056
128,4,0.001,1e-05,1.0,50,0.3722386541595015,-0.04154855616331302
64,4,0.01,1e-05,0.6,50,0.34527816322074284,-0.040343948954935906
128,4,0.01,1e-05,0.6,50,0.3431005043440399,-0.04031392401533306
64,4,0.01,1e-05,1.0,50,0.3495601211742296,-0.04118145916404125
128,4,0.01,1e-05,1.0,50,0.3504004690750438,-0.04191419997802145
64,3,0.001,0.0001,0.6,50,0.3758095434315596,-0.044430222177255875
128,3,0.001,0.0001,0.6,50,0.3872561220990344,-0.0434585774695492
64,3,0.001,0.0001,1.0,50,0.3761209082827783,-0.04375239396315093
128,3,0.001,0.0001,1.0,50,0.37736203429407206,-0.04444499163406875
64,3,0.01,0.0001,0.6,50,0.34698579055336726,-0.041804180913942675
128,3,0.01,0.0001,0.6,50,0.3580745422997622,-0.040145525667531344
64,3,0.01,0.0001,1.0,50,0.3550639725434201,-0.041436004352056556
128,3,0.01,0.0001,1.0,50,0.35880295490853525,-0.04420252515543598
64,4,0.001,0.0001,0.6,50,0.38498771699993867,-0.04487257418298407
128,4,0.001,0.0001,0.6,50,0.37669298836601733,-0.04319036183682524
64,4,0.001,0.0001,1.0,50,0.3753611447025747,-0.04407092705189877
128,4,0.001,0.0001,1.0,50,0.3661023276544692,-0.04298751790846576
64,4,0.01,0.0001,0.6,50,0.3489971568452426,-0.04105855553837509
128,4,0.01,0.0001,0.6,50,0.3490318847996323,-0.04125642078770954
64,4,0.01,0.0001,1.0,50,0.35363415109202156,-0.04072001492252989
128,4,0.01,0.0001,1.0,50,0.3556275284164642,-0.042496365441677196
