declared_band,model,split_index,predicted_pc,ci_lower,ci_upper,band_label,model_display
0,light_gcn,36,0.5197929661697689,0.49601131147264454,0.5435746208668932,Conservative,LightGCN
0,random_forest,36,0.374280625107696,0.3684236684815692,0.3801375817338228,Conservative,Random Forest
1,light_gcn,36,0.9191890955512114,0.9146251200732887,0.9237530710291342,Income,LightGCN
1,random_forest,36,0.5790468776610068,0.5761619645154763,0.5819317908065373,Income,Random Forest
2,light_gcn,36,0.9255267265794773,0.9209792198702152,0.9300742332887394,Balanced,LightGCN
2,random_forest,36,0.8209256249302812,0.818347934452181,0.8235033154083814,Balanced,Random Forest
3,light_gcn,36,0.5082318857354429,0.49690000282784447,0.5195637686430412,Aggressive,LightGCN
3,random_forest,36,0.6967721151673882,0.6932391126335637,0.7003051177012127,Aggressive,Random Forest
