term,estimate,std_error,t_value,p_value,ci_lower,ci_upper
C(split_index)[T.23],-0.04091791998183093,0.002721438174099285,-15.035403108275112,4.304202167563058e-51,-0.04625184078921798,-0.03558399917444389
C(split_index)[T.24],0.06272737717620382,0.002906259238702417,21.583545039915386,2.564333352781262e-103,0.05703121373861028,0.06842354061379735
C(split_index)[T.25],0.01106216382990701,0.003643346774340051,3.036264323730422,0.0023952928103975354,0.00392133536901033,0.018202992290803688
C(split_index)[T.26],-0.01698103304195698,0.0030625117492937112,-5.5448058430708755,2.942805294332518e-08,-0.022983445772803413,-0.010978620311110545
C(split_index)[T.27],-0.027554602808344344,0.0040015628542585235,-6.88596026400543,5.739901238695634e-12,-0.035397521884564354,-0.019711683732124334
C(split_index)[T.28],-0.020374853713113546,0.0026353416834470874,-7.731389762887509,1.063787727041024e-14,-0.025540028499626992,-0.0152096789266001
C(split_index)[T.29],0.00948764967165242,0.00272998222761169,3.4753521747109093,0.0005101830902139137,0.004136982827099079,0.014838316516205761
C(split_index)[T.30],0.011371421490289751,0.002696378140473103,4.217294792448709,2.4725065128836113e-05,0.006086617446261387,0.016656225534318114
C(split_index)[T.31],-0.012593682457504625,0.002702235669553704,-4.660467848677526,3.154914415746507e-06,-0.017889967047569365,-0.007297397867439886
C(split_index)[T.32],-0.03459218526034583,0.0034408702236364123,-10.05332459873706,8.88193216804729e-24,-0.041336166974149484,-0.02784820354654218
C(split_index)[T.33],-0.01179273570592762,0.0028019354979419205,-4.208782006077452,2.567509441848632e-05,-0.017284428368898087,-0.0063010430429571536
C(split_index)[T.34],-0.013445998004837622,0.0027032637232338287,-4.973986773570357,6.558978603383806e-07,-0.01874429754308958,-0.008147698466585664
C(split_index)[T.35],-0.008271469702628941,0.0027574529693064538,-2.9996775265796667,0.002702655752880036,-0.013675978211532621,-0.002866961193725261
C(split_index)[T.36],0.02252598543288322,0.0026426843303161657,8.523903204961394,1.542645603161869e-17,0.017346419322955185,0.027705551542811256
C(split_index)[T.37],0.015342036055213025,0.0027176429885451196,5.645346397551037,1.6484899434647627e-08,0.010015553674826792,0.02066851843559926
C(split_index)[T.38],0.0073801307746171815,0.0027615374078100202,2.6724717737826484,0.007529470863605673,0.0019676169133494422,0.01279264463588492
C(split_index)[T.39],-0.0006395650257549328,0.00299844124185942,-0.2132991691904291,0.8310936215341488,-0.00651640186955895,0.005237271818049084
C(split_index)[T.40],-0.044455672706641004,0.002699116789741572,-16.470451695755422,5.982203054116196e-61,-0.049745844404601856,-0.03916550100868015
C(split_index)[T.41],-0.008879593500117838,0.00295557477955197,-3.0043541992410283,0.002661452858968492,-0.014672413621654608,-0.003086773378581066
C(split_index)[T.42],-0.029956259761061487,0.0032310688305224587,-9.271315881010683,1.8386338456689504e-20,-0.036289038300455455,-0.023623481221667516
C(split_index)[T.43],-0.05881074318826154,0.002820544844111978,-20.85084493906621,1.497547415286337e-96,-0.06433890949950116,-0.05328257687702192
C(split_index)[T.44],-0.00019365357443808988,0.0028530251308165203,-0.06787657505935367,0.9458838861324601,-0.0057854800778261465,0.005398172928949966
C(split_index)[T.45],-0.026646566247361038,0.0027026575103209776,-9.859394372243782,6.242477501270427e-23,-0.03194367763013684,-0.021349454864585234
C(split_index)[T.46],-0.034049309870040685,0.002815064157929869,-12.095393909274073,1.1170517003589884e-33,-0.0395667342337528,-0.028531885506328566
C(split_index)[T.47],-0.036925602143233954,0.0029112086439130173,-12.683942190279247,7.258720517802679e-37,-0.04263146623678516,-0.031219738049682748
C(split_index)[T.48],-0.010932546925342002,0.002981852111992797,-3.666361212674524,0.0002460263454671483,-0.01677686967207258,-0.005088224178611424
C(split_index)[T.49],-0.03383430401913764,0.0030801255289492676,-10.984715947820359,4.526603016871138e-28,-0.03987123912374059,-0.02779736891453469
C(split_index)[T.50],-0.032389646044138694,0.0031082804451209234,-10.420438765421187,2.0002825584997713e-25,-0.03848176377042583,-0.026297528317851558
C(split_index)[T.51],-0.043910730216245204,0.0028282944340822453,-15.525515903542702,2.3312166250259335e-54,-0.0494540854447215,-0.03836737498776891
C(split_index)[T.52],-0.004583249420550403,0.0030107794294629412,-1.522280036757112,0.12793892798475714,-0.01048426866769182,0.0013177698265910143
C(split_index)[T.53],0.004556474424989562,0.003094339551282528,1.4725192078875167,0.14088072399228052,-0.0015083196514620242,0.010621268501441149
